ID_REF,sputum from pulmonary tuberculosis patient1,sputum from pulmonary tuberculosis patient1(dye flip),sputum from pulmonary tuberculosis patient 2,sputum from pulmonary tuberculosis patient 3,sputum from pulmonary tuberculosis patient 3 (dye flip),sputum from pulmonary tuberculosis patient 4,sputum from pulmonary tuberculosis patient 5,sputum from pulmonary tuberculosis patient 5 (dye flip),sputum from pulmonary tuberculosis patient 6,sputum from pulmonary tuberculosis patient 7,sputum from pulmonary tuberculosis patient 7 (dye flip),,,,,,,,
10215,-0.00289543,-0.0740277,0.0939984,0.162936,0.440054,-0.285016,-0.137669,0.474773,0.0493938,-0.364934,-0.362424,,,,,,,,
10301,0.54438,0.561556,0.976235,0.492924,0.141823,0.496985,1.18583,0.519463,-0.288887,-0.240647,0.03785,,,,,,,,
10302,0.350496,0.127832,-0.654507,0.106606,0.485119,0.253564,-0.402777,0.44279,null,-0.219343,-0.254941,,,,,,,,
10303,-0.107492,-1.21699,-0.846371,-0.734287,-0.765923,-0.674931,-0.993952,0.36825,-0.525413,-0.900533,-0.563791,,,,,,,,
10304,0.0629411,-1.14544,-0.498712,-0.391539,-0.575928,-0.415611,-0.645715,-0.0798553,null,-0.370656,-1.29054,,,,,,,,
10305,0.13308,-0.169651,-0.338189,0.465044,0.384862,-0.20406,-0.898775,0.430164,-0.260933,-0.279745,0.268567,,,,,,,,
10306,0.139421,0.385724,0.165579,0.227753,0.510112,0.158635,-0.301066,0.751841,0.452914,0.554497,1.18105,,,,,,,,
10307,0.414572,0.54615,0.429731,0.468229,0.598851,0.266687,0.448406,0.329207,0.0531927,-0.0757744,0.212938,,,,,,,,
10308,0.943404,0.0831824,1.9186,1.0466,0.240385,1.91219,1.42163,1.30321,0.682525,2.23199,1.9162,,,,,,,,
10309,0.573019,0.672502,1.40831,0.479301,-0.0220584,0.546936,0.393026,0.206679,0.328666,0.709162,0.465068,,,,,,,,
10310,0.349378,0.544975,0.731132,0.214966,0.53311,-0.191015,null,0.111356,0.437496,0.557568,0.491201,,,,,,,,
10311,0.317353,1.06795,0.852943,0.561343,0.689704,1.13325,0.00848034,0.590159,0.265425,0.345159,0.418635,,,,,,,,
10312,0.290664,0.468934,0.677364,-0.178873,0.422376,0.313666,0.439676,0.514648,0.256323,0.47142,0.711666,,,,,,,,
10313,0.0230202,-0.0547295,0.304302,-0.227669,0.142904,-0.177492,0.169619,-0.0442491,0.198279,-0.0185111,-0.335194,,,,,,,,
10314,-0.564487,-1.83458,-0.780157,-0.880601,-1.18107,-0.873266,-0.825689,-0.698346,-0.277789,-1.32502,-1.49787,,,,,,,,
10315,-0.423318,-1.13869,-0.521706,-0.227743,-0.555198,-0.327161,-0.198646,-0.389514,-0.216628,-0.234512,-0.932936,,,,,,,,
10401,0.150925,0.62372,0.917607,0.661756,0.185004,0.237571,null,null,null,null,null,,,,,,,,
10402,0.153039,0.448766,-0.238552,-0.591284,0.069515,-0.308149,0.390538,0.776006,0.0111442,0.0199069,0.82236,,,,,,,,
10403,0.735919,0.259475,1.10091,0.693086,0.741,0.754532,null,null,null,null,0.113382,,,,,,,,
10404,0.267671,-0.708725,-0.174902,-0.32615,0.143519,-0.543586,0.0592351,-0.169798,-0.239479,-1.07113,-0.962414,,,,,,,,
10405,-0.354072,-0.83354,-0.732059,-0.513496,-0.622923,-0.830834,null,-0.0213288,null,-0.64261,-0.661872,,,,,,,,
10406,-1.31876,-1.55765,-2.12659,-1.19688,-0.659983,-1.59925,-0.860381,-0.368311,-0.619794,-1.79469,-1.25675,,,,,,,,
10407,-0.124054,-0.480746,-0.430988,-0.169722,-0.0370866,-0.893288,-0.930979,-0.134137,-0.0925428,-0.147021,-0.556901,,,,,,,,
10408,0.0299873,0.32615,-0.0846987,-0.347874,0.213976,-0.0893557,0.452704,-0.0226111,-0.04519,-0.0478756,0.124587,,,,,,,,
10409,0.0875873,-0.493046,-0.1056,-0.174158,-0.319417,-0.451748,null,-0.417246,-0.341094,-2.04395,-1.40621,,,,,,,,
10410,0.574243,1.1796,1.26932,0.827584,1.03632,1.02384,0.484035,0.280449,0.205252,0.45838,0.59824,,,,,,,,
10411,0.456362,0.143471,1.06711,0.771561,-0.307494,0.514676,0.765202,null,null,null,-0.651686,,,,,,,,
10412,0.573829,0.353421,1.12792,0.540251,0.731963,0.551281,null,0.00468393,null,null,-0.131148,,,,,,,,
10413,-0.768281,-1.49423,-1.17727,-0.931442,-1.17403,-1.21336,-1.1218,-0.416337,-0.229648,-0.735,-0.906481,,,,,,,,
10414,-0.552965,-0.792373,-0.926021,-0.42084,-0.202689,-1.20192,-0.592567,-0.712834,-0.0033701,-0.774207,-1.03728,,,,,,,,
10415,0.876313,0.855375,1.62653,0.935584,0.207728,0.646463,1.19707,1.16093,0.267713,2.20095,1.59514,,,,,,,,
10501,0.694121,0.981727,0.893108,0.647222,0.719508,0.809603,0.163068,0.495418,0.152761,0.873407,0.514753,,,,,,,,
10502,0.510734,1.60523,1.28606,-0.0551927,0.322767,0.0953514,1.69898,0.753406,0.192374,1.51224,1.4587,,,,,,,,
10503,0.259137,0.355078,0.505825,0.287124,0.743678,0.440631,null,-0.203087,null,null,-0.365323,,,,,,,,
10504,-0.0926307,-0.273709,-0.0993644,-0.10319,0.0520257,-0.108637,0.245446,null,null,-0.758989,-0.739758,,,,,,,,
10505,0.0735533,-0.0266565,0.622265,-0.305597,-0.105944,-0.207582,-0.0181098,-0.062962,-0.287927,-0.135708,-0.039727,,,,,,,,
10506,0.420683,0.774435,0.258153,0.351471,0.469497,0.818485,0.425736,0.490061,null,0.0689825,0.0389201,,,,,,,,
10507,0.0292478,0.992438,0.432024,0.0121359,0.639059,0.877837,0.53903,0.431104,0.339372,0.224301,0.790309,,,,,,,,
10508,0.393521,0.186559,0.662319,0.113316,-0.414499,0.295054,0.0830294,-0.268745,0.0791671,0.0151095,-0.575163,,,,,,,,
10509,0.186531,1.52662,0.958044,0.540314,1.14035,0.657194,null,0.208193,null,null,null,,,,,,,,
10510,0.83789,0.982008,1.37244,0.770949,0.959714,0.633285,null,0.0582059,null,0.268985,0.219833,,,,,,,,
10511,0.741106,0.780448,1.44271,0.0433629,0.0398957,0.396309,1.36769,0.134766,0.154972,0.782566,0.201119,,,,,,,,
10512,-0.62902,-0.91041,-0.783878,-0.710975,-0.304975,-0.938757,null,-0.503505,null,null,-0.498979,,,,,,,,
10513,0.482611,0.842244,1.45729,-0.0490208,0.0296852,0.368523,0.601674,0.976291,0.449695,1.79717,1.24862,,,,,,,,
10514,0.75787,0.701575,1.31815,0.858206,0.889354,0.689447,1.3619,0.312261,0.272934,1.74426,0.49577,,,,,,,,
10515,0.612226,1.60966,1.43592,0.158442,0.520846,0.965589,-0.0425887,0.567104,0.331163,2.05179,0.697099,,,,,,,,
10601,0.944903,0.893282,1.51147,0.561894,0.486527,1.16021,0.565376,0.531907,-0.157763,1.44056,0.169405,,,,,,,,
10602,0.583322,1.40901,1.22381,0.114497,0.593808,0.728427,1.13083,0.36034,null,0.749576,0.999516,,,,,,,,
10603,0.380011,-0.494668,0.078025,-0.0321187,-0.061606,0.399109,-0.429394,-0.0526634,-0.374225,-1.58123,-0.668664,,,,,,,,
10604,0.290431,-0.254697,0.109144,-0.0354041,-0.324167,-0.147507,-0.206202,-0.0307372,-0.54569,-1.25961,-0.640205,,,,,,,,
10605,0.38544,0.523264,0.721667,0.33158,0.48143,0.403667,null,0.0721375,null,0.434757,-0.000253152,,,,,,,,
10606,0.3062,1.32663,0.7752,0.498404,0.651385,0.340068,-0.047204,0.455573,0.257239,0.325448,0.7219,,,,,,,,
10607,-0.0215467,-0.165917,-0.203285,0.0236719,-0.113676,-0.309594,-0.327749,-0.0607125,-0.097901,-0.532829,-0.0662271,,,,,,,,
10608,1.00272,0.337605,1.30399,0.276392,-0.24088,1.8946,0.216457,1.34502,0.0795753,1.5446,1.63762,,,,,,,,
10609,0.496761,1.67666,1.31426,-0.0749139,0.778671,0.508677,-0.0843877,0.900956,0.606519,1.36331,1.77233,,,,,,,,
10610,-2.87258,-5.69885,-4.43893,-4.01236,-4.94252,-3.93509,-3.59714,-1.57936,-0.934632,-3.43954,-2.48135,,,,,,,,
10611,-0.721364,-1.26564,-0.970162,-0.246741,-0.639332,-0.654502,-0.107029,-0.788704,-0.253095,-1.33562,-1.33483,,,,,,,,
10612,-0.942908,-1.80484,-1.31302,-0.809976,-1.09714,-1.42867,-0.845434,-0.889612,-0.47448,null,-2.11123,,,,,,,,
10613,-2.03797,-3.21932,-3.1162,-2.43267,-1.9017,-2.79009,-1.32179,-1.28016,-0.563733,-1.65448,-2.33228,,,,,,,,
10614,-1.08507,-2.12887,-1.35673,-2.44581,-1.81277,-0.916965,-1.15834,-0.526202,-0.639641,-1.77058,-1.70146,,,,,,,,
10615,-1.36142,-2.4378,-1.69036,-1.46335,-1.73382,-1.16805,-1.72444,-0.946118,-0.591896,-2.08509,-1.84967,,,,,,,,
10701,-0.47442,-1.55633,-1.78736,-1.17459,-0.280671,-1.68274,-1.37891,-0.514492,-0.656655,-1.36244,-1.29466,,,,,,,,
10702,-0.544385,-1.70377,-2.08389,-1.21914,-1.68964,-1.31118,-1.08539,-1.07204,-0.742001,-1.89193,-1.45145,,,,,,,,
10703,-0.0545948,0.0580545,0.0943797,-0.0853185,-0.0639579,0.0514099,0.246969,-0.195507,null,-0.557347,-0.676414,,,,,,,,
10704,0.229426,-0.120153,-0.100259,-0.0417339,0.446103,-0.371,-0.40737,-0.342026,-0.0715972,-0.701117,-0.931759,,,,,,,,
10705,0.234338,0.742764,0.612335,0.377226,0.412776,0.593367,null,null,null,0.447703,null,,,,,,,,
10706,-0.493367,-1.07799,-1.03255,-0.260991,-0.54752,-0.27924,null,-0.49776,-0.181417,-1.20803,-0.979059,,,,,,,,
10707,0.513785,0.596434,0.891151,0.766089,0.48321,1.04632,0.534595,0.571573,0.0857707,0.319652,0.516888,,,,,,,,
10708,0.15477,0.346637,0.0476788,-0.286426,0.101626,-0.487354,-0.777673,0.0997177,0.0413189,0.0874835,0.0678107,,,,,,,,
10709,-0.0664468,0.0514345,-0.552534,0.228301,0.335199,0.16098,-0.124857,0.0795148,0.157313,0.163248,0.0444673,,,,,,,,
10710,0.354357,-0.183359,0.666647,0.390382,0.00537633,0.481516,null,-0.238774,0.0245523,-0.446599,-0.243286,,,,,,,,
10711,-0.460243,-0.919829,-0.630129,-0.406384,-0.268497,-0.908888,-0.0384638,-0.178568,-0.29266,-0.520124,-0.598681,,,,,,,,
10712,-2.03956,-3.28741,-2.85889,-1.56245,-1.77365,-3.12586,-1.43422,-0.84631,-0.466559,-1.23186,-1.66588,,,,,,,,
10713,0.233133,2.00307,1.09345,0.29978,0.77625,1.30413,-0.373596,0.657825,0.322394,0.433268,0.843347,,,,,,,,
10714,-0.00733964,0.771898,0.25053,-0.473274,0.602237,0.740495,0.253098,0.0860295,-0.0100789,-0.220224,-0.035888,,,,,,,,
10715,0.475905,0.0140565,1.01451,-0.151427,0.31016,0.300435,0.396964,-0.631143,0.015308,-0.341067,-1.1587,,,,,,,,
10801,0.860243,0.647635,1.16759,0.483215,0.40574,0.842967,0.212303,0.434045,-0.239036,0.633366,0.187912,,,,,,,,
10802,-0.0020785,-0.390416,-0.261356,null,0.0432217,0.112582,null,-0.356127,null,-0.735985,-0.612707,,,,,,,,
10803,0.424316,1.0565,1.06425,-0.152417,0.834165,0.673541,null,0.203274,null,0.365353,0.251314,,,,,,,,
10804,-0.192336,0.0997602,-0.373395,-0.410352,-0.299217,-1.09175,-0.640971,-0.237175,-0.388097,-0.568333,-0.10152,,,,,,,,
10805,-0.059012,-0.341009,-0.236505,-0.353583,-0.365281,-0.859915,-0.0633656,0.405165,-0.378229,0.118542,-0.0218553,,,,,,,,
10806,0.546146,0.85681,1.0292,0.0857789,0.689192,0.454877,null,null,null,0.306276,0.0953279,,,,,,,,
10807,0.62386,1.34466,1.14785,0.758537,0.749568,1.1525,1.07273,0.343832,null,1.46519,1.08783,,,,,,,,
10808,-0.245418,-0.362424,-0.823761,-0.242287,-0.280005,-0.046852,-1.00137,-0.424968,-0.35326,-0.966259,-0.831339,,,,,,,,
10809,-0.447248,0.0422737,-0.367337,-0.178295,0.144983,-0.519642,null,-0.117699,null,-0.285577,-0.340006,,,,,,,,
10810,0.508281,1.33451,1.21113,0.58754,0.513185,0.194024,0.937975,0.0100776,null,0.672878,0.470252,,,,,,,,
10811,-0.0213154,-0.21978,0.0720854,0.074198,-0.134466,-0.075219,0.262487,-0.609542,-0.01789,-0.0101496,-0.389064,,,,,,,,
10812,0.0401493,0.552561,0.0419921,0.16442,0.479291,-0.101669,-0.902123,-0.524389,-0.0787219,-0.609536,-0.972595,,,,,,,,
10813,-0.928622,-1.89565,-1.45719,-0.465242,-0.871164,-1.65326,-1.06173,-0.960893,-0.308704,-1.65493,-1.77442,,,,,,,,
10814,0.514894,0.468685,0.957128,0.340318,0.348645,0.583629,null,0.0766885,0.357872,0.795757,0.0785431,,,,,,,,
10815,0.370292,1.46922,0.694269,0.138566,0.466278,0.407391,1.91166,0.612317,0.623931,1.90196,1.4294,,,,,,,,
10901,0.044755,-0.0657269,-0.237438,-0.0267956,-0.104659,-0.0688676,-0.232245,0.134579,-0.266278,-1.19652,-0.763928,,,,,,,,
10902,0.199746,1.02383,0.112956,-0.40703,0.296056,0.198695,0.212602,0.345102,-0.229572,-0.404526,0.225557,,,,,,,,
10903,0.725484,0.836621,-0.00637414,0.31009,0.533397,0.927797,null,0.090099,-0.169293,-0.0196991,0.210001,,,,,,,,
10904,0.230028,0.988083,0.164006,0.173497,0.286847,0.508453,0.112706,1.405,0.127865,0.849777,1.6877,,,,,,,,
10905,0.745639,0.601696,0.814824,0.480449,0.726161,1.44824,-0.0772179,-0.22272,null,0.563354,0.0113065,,,,,,,,
10906,0.928075,1.15666,1.63203,0.870352,0.369583,0.717764,1.79748,0.518336,0.184549,1.97721,1.30144,,,,,,,,
10907,-0.582772,-1.10151,-1.32543,-0.468183,0.341954,-0.601124,-0.420637,-0.392236,-0.0851451,-1.13973,-0.976974,,,,,,,,
10908,0.327805,0.542462,0.497878,0.206386,0.256591,0.182528,null,0.0199044,null,null,-0.0321522,,,,,,,,
10909,-0.13778,-0.178295,-0.532433,0.0687096,0.650674,-0.173239,0.02561,-0.405196,0.0867133,-0.707403,-0.244268,,,,,,,,
10910,-1.26807,-2.51322,-1.60271,-0.839566,-1.25027,-1.02904,-0.773281,-0.971929,-0.462109,-1.34214,-1.31283,,,,,,,,
10911,-1.50007,-2.0589,-2.09313,-0.899371,-0.850807,-2.57474,-0.795512,-0.567115,-0.108123,-1.0549,-0.893462,,,,,,,,
10912,0.165309,0.453441,0.157473,0.117458,0.723893,0.231442,-0.278038,0.215864,0.174648,0.940466,0.439869,,,,,,,,
10913,0.218239,0.321446,0.703249,-0.134065,0.290323,0.997597,-0.252123,1.53769,0.722973,1.09114,2.0728,,,,,,,,
10914,0.179317,1.0274,1.02664,0.349896,0.261868,1.38036,-0.790246,0.364126,0.425003,1.05217,1.06534,,,,,,,,
10915,-0.413257,-0.941751,-1.04759,0.308699,0.0583624,-0.598049,0.308524,-0.592279,-0.142521,0.104136,-0.530097,,,,,,,,
11001,0.893679,1.44702,1.20629,0.546258,0.898278,1.20798,0.700838,0.283425,null,0.702598,0.533322,,,,,,,,
11002,0.292684,0.946006,-0.197256,0.381286,0.467463,0.108932,0.203004,0.217286,-0.271574,0.587605,0.947431,,,,,,,,
11003,-0.141708,0.764632,0.0550324,-0.138279,0.353438,0.331182,0.149295,0.0526439,-0.455446,-0.909342,0.217733,,,,,,,,
11004,-1.69679,-3.03847,-1.97044,-0.90106,-1.43343,-2.28894,-0.732156,-0.620465,-0.315793,-0.878622,-1.05789,,,,,,,,
11005,-0.748255,-1.51861,-0.978579,0.0665341,-0.844459,-0.954345,-0.0265709,-0.785093,-0.754228,-1.53853,-1.29923,,,,,,,,
11006,-1.73265,-2.01184,-1.83254,-1.50424,-1.65369,-0.476334,-0.74174,-0.300617,-0.62595,-1.98504,-0.958504,,,,,,,,
11007,-0.903425,-1.17637,-0.982689,0.0993464,-0.506298,-0.38942,-0.509577,-0.111582,0.192892,-0.0517797,0.0640296,,,,,,,,
11008,0.236294,0.494169,0.414926,0.404192,0.698895,0.0965114,null,-0.283229,0.314809,0.26295,0.0980812,,,,,,,,
11009,0.76736,1.05745,1.2683,0.716023,0.466143,1.0876,0.33204,0.458931,0.284006,1.07795,0.644448,,,,,,,,
11010,-0.841388,-1.6809,-1.48317,-1.10397,-0.64568,-1.63927,-0.424832,-1.03761,-0.220088,-1.68747,-1.16372,,,,,,,,
11011,-0.0108749,-0.047666,-0.0154932,-0.0578572,0.315318,-0.182025,-0.389074,-0.578426,0.014941,-0.863569,-0.64278,,,,,,,,
11012,-0.375584,-0.551792,-0.479334,-0.119779,0.462976,-0.765194,-0.0751578,0.0348091,0.00967992,-0.206378,0.237015,,,,,,,,
11013,-0.727326,null,null,null,null,null,null,null,null,null,null,,,,,,,,
11014,0.128294,0.482707,0.586674,0.0362678,-0.220138,-0.0880301,0.48981,0.0846683,0.012904,0.878005,0.109561,,,,,,,,
11015,-0.5207,0.0852046,-0.258451,-0.0653251,0.102315,0.584851,0.613248,0.585318,0.436385,0.552303,1.02726,,,,,,,,
11101,0.362611,0.335787,0.141618,0.0073998,0.138574,0.0501665,0.393482,-0.11791,-0.406088,-0.262658,-0.87715,,,,,,,,
11102,0.871078,1.57912,1.51219,0.8851,1.1825,1.36774,0.506523,0.358826,-0.157682,1.13747,1.08233,,,,,,,,
11103,-0.0763357,-1.10634,-0.583335,-0.972234,-1.1027,-1.51898,-1.49976,-1.2334,-0.981547,-0.875561,-1.78874,,,,,,,,
11104,0.970016,1.97125,2.08611,0.809399,1.37112,1.20022,1.41631,1.32622,0.514187,1.72723,2.41715,,,,,,,,
11105,0.411186,0.617942,0.70912,0.668688,0.166584,0.767856,1.46455,0.125044,-0.10219,1.01033,0.449826,,,,,,,,
11106,0.376547,0.728026,0.515639,0.374911,0.510704,0.247179,0.162599,0.0637355,null,0.776876,0.324714,,,,,,,,
11107,-0.876805,-0.549514,-1.25148,-0.240854,-0.279358,-1.47577,null,-0.482892,null,null,-0.516439,,,,,,,,
11108,0.165377,0.15727,0.215492,0.13999,0.508345,0.214965,null,-0.305285,0.212701,null,null,,,,,,,,
11109,-1.5625,-3.19664,-2.39521,-0.660121,-1.67689,-1.87012,null,-1.1188,-0.283197,-2.07609,null,,,,,,,,
11110,-0.0843762,-0.330447,0.331201,0.280968,-0.346209,-0.329645,1.53407,0.055515,0.0795217,-0.0259255,0.305187,,,,,,,,
11111,-0.0698603,0.125876,-0.195336,0.146795,0.261162,-0.317417,-0.0628653,-0.297625,null,-0.214532,-0.363619,,,,,,,,
11112,0.14807,-0.110603,0.386056,0.0949424,-0.61775,-0.0477618,-0.556322,-0.637136,-0.207971,-0.0618771,-0.774006,,,,,,,,
11113,-2.13613,-3.30821,-2.98063,-1.957,-1.86388,-2.64219,-0.826726,-1.40565,-0.62811,-2.60505,-2.3483,,,,,,,,
11114,0.246945,0.566092,0.654011,0.330517,0.122357,0.388943,0.17535,0.256328,0.247255,0.536821,0.38755,,,,,,,,
11115,-0.17207,-0.221309,0.536031,-0.259388,-0.571626,-0.0217154,null,-0.593831,null,0.204748,-0.532754,,,,,,,,
11201,0.122017,0.204876,0.157331,0.0313053,0.431753,-0.397211,0.946293,0.324149,-0.13734,-0.00809278,-0.561227,,,,,,,,
11202,-0.488603,-1.27959,-1.11658,-0.926663,-1.59546,-0.633993,-0.772178,-0.613969,-0.44424,-1.79441,-1.0797,,,,,,,,
11203,0.610902,0.85028,0.78838,0.595577,0.455025,0.423889,-0.284295,-0.114452,-0.250271,-0.09301,-0.147516,,,,,,,,
11204,0.523661,0.621677,0.450013,0.426358,0.682977,0.765321,0.185007,0.141319,null,0.752485,0.58256,,,,,,,,
11205,0.449413,0.462868,0.494434,0.0902253,0.393294,0.489356,0.915714,-0.273495,null,0.0923873,-0.152686,,,,,,,,
11206,0.491106,1.49239,-0.332176,0.777053,0.472487,0.921679,0.744722,0.0238906,-0.288803,0.13774,0.516738,,,,,,,,
11207,-1.26201,-1.93845,-2.21891,-0.783011,-1.19627,-2.21708,-1.2102,-1.04023,-0.531375,-1.67118,-1.19119,,,,,,,,
11208,0.0499388,0.344236,-0.0973259,0.368435,0.326264,0.416377,0.679167,-0.29333,-0.0503231,0.222434,0.641515,,,,,,,,
11209,0.725161,0.463693,0.960988,0.415852,0.561756,0.539792,-0.00101687,-0.251066,null,-0.332284,-0.327939,,,,,,,,
11210,-0.223352,0.306876,0.00169251,0.55594,0.228697,0.623749,-0.668629,-0.65769,-0.256413,-0.851789,-0.562307,,,,,,,,
11211,1.01733,1.25163,2.13863,0.529106,0.599277,1.39879,0.787963,0.0296733,null,1.62114,0.83072,,,,,,,,
11212,-0.0835103,-0.0118788,0.367176,0.0442695,-0.243492,0.765,-0.107011,-0.401499,0.0187969,-0.412205,-0.520976,,,,,,,,
11213,0.683194,1.74295,1.86036,0.736473,0.706684,1.76105,1.21881,0.91188,0.48625,2.13126,1.46946,,,,,,,,
11214,-0.417118,-0.540372,-1.88092,-0.773618,-0.754293,-1.19139,-0.912059,-0.638873,-0.280672,-1.39722,-1.28966,,,,,,,,
11215,0.595645,1.18674,1.18788,0.501058,0.356354,1.1413,0.744411,0.217574,0.436575,1.8077,0.826811,,,,,,,,
11301,0.86815,1.2605,1.69439,0.988683,0.370249,1.78476,1.78178,0.961717,0.483498,2.27918,-0.598956,,,,,,,,
11302,0.515551,-0.328391,0.558397,0.196768,-0.28504,0.00824164,-0.152235,0.678107,-0.141675,-0.80486,0.421814,,,,,,,,
11303,0.139422,0.729345,0.219925,-0.477067,0.151273,-0.0854773,null,0.036205,-0.31588,0.0191435,0.557243,,,,,,,,
11304,-1.08549,-1.32581,-2.68112,-1.04022,-2.03931,-1.82784,-1.50714,-0.596165,-0.748442,-2.37707,-1.2711,,,,,,,,
11305,-0.756165,-1.21811,-1.28949,0.173428,-0.577209,-0.616359,-0.186972,-0.476075,null,-1.47223,-1.06182,,,,,,,,
11306,0.316265,1.80879,0.942312,0.00120192,0.57028,0.00930798,1.19712,1.17796,0.741317,0.906762,2.30575,,,,,,,,
11307,0.163873,0.0815773,-0.137428,0.305929,-0.344454,0.178648,-0.0920078,0.121053,0.0375209,0.62489,0.304557,,,,,,,,
11308,-0.398936,-0.112177,-0.319181,0.183125,-0.246277,0.382724,0.499355,-0.662137,null,-0.718643,-0.549551,,,,,,,,
11309,0.428466,0.578882,1.21949,0.812893,-0.0493952,0.286523,-0.0882959,0.49236,0.643748,1.98144,1.75513,,,,,,,,
11310,0.00161103,-0.486879,-0.321869,-0.0432056,-0.0620201,-0.399353,-0.411703,-0.432797,null,-0.487759,-0.414246,,,,,,,,
11311,-0.398264,-0.231249,-0.484215,-0.141969,0.129751,-0.245431,-0.408811,-0.205505,0.049953,-0.360018,-0.285152,,,,,,,,
11312,-1.76733,-2.16705,-2.82464,-0.760104,-1.0509,-1.75682,-1.67377,-0.961084,-0.424582,-2.14261,-1.33169,,,,,,,,
